law_id,html_exists,parsed_exists,status
73-2025-QH15,True,False,missing_parsed
74-2006-QH11,True,True,ok
74-2014-QH13,True,True,ok
75-2006-QH11,True,True,ok
75-2015-QH13,True,True,ok
75-2025-QH15,True,False,missing_parsed
76-2006-QH11,True,True,ok
76-2015-QH13,True,True,ok
76-2025-QH15,True,False,missing_parsed
77-2006-QH11,True,True,ok
77-2015-QH13,True,True,ok
78-2006-QH11,True,True,ok
78-2015-QH13,True,True,ok
79-2006-QH11,True,True,ok
79-2015-QH13,True,True,ok
79-2025-QH15,True,False,missing_parsed
8-LCT-HĐNN8,True,True,ok
80-2006-QH11,True,True,ok
80-2015-QH13,True,True,ok
80-2025-QH15,True,False,missing_parsed
81-2006-QH11,True,True,ok
81-2015-QH13,True,True,ok
81-2025-QH15,True,False,missing_parsed
82-2006-QH11,True,True,ok
82-2015-QH13,True,True,ok
82-2025-QH15,True,False,missing_parsed
83-2007-QH11,True,True,ok
83-2015-QH13,True,True,ok
84-2007-QH11,True,True,ok
84-2015-QH13,True,True,ok
84-2025-QH15,True,False,missing_parsed
85-2015-QH13,True,True,ok
85-2025-QH15,True,False,missing_parsed
86-2015-QH13,True,True,ok
86-2025-QH15,True,False,missing_parsed
87-2015-QH13,True,True,ok
87-2025-QH15,True,False,missing_parsed
88-2015-QH13,True,True,ok
88-2025-QH15,True,False,missing_parsed
89-2015-QH13,True,True,ok
90-2015-QH13,True,True,ok
90-2025-QH15,True,False,missing_parsed
91-2015-QH13,True,True,ok
92-2015-QH13,True,True,ok
93-2015-QH13,True,True,ok
94-2015-QH13,True,True,ok
95-2015-QH13,True,True,ok
95-2025-QH15,True,False,missing_parsed
96-2015-QH13,True,True,ok
97-2015-QH13,True,True,ok
98-2015-QH13,True,True,ok
99-2015-QH13,True,True,ok
99-2025-QH15,True,False,missing_parsed
